url,name,price,quantity_box,quantity_carton,color,material,dipping
https://www.ardon.cz/macene-rukavice-ardon-r-lite-touch-06-xs,Máčené rukavice ARDON®LITE TOUCH,79.15,12,144,modrá,nylon,polyuretan
https://www.ardon.cz/protirezne-rukavice-ardon-r-storm-touch-08-m,Protiřezné rukavice ARDON®STORM TOUCH,250.93,12,144,bílá,nylon,polyuretan
https://www.ardon.cz/tepelne-odolne-rukavice-ardon-r-alan-09-l,Tepelně odolné rukavice ARDON®ALAN,507.41,None,None,béžová,pletený,None
https://www.ardon.cz/macene-rukavice-ardon-r-lite-touch-oil-06-xs,Máčené rukavice ARDON®LITE TOUCH OIL,39.48,12,120,černá,nylon,nitrilová
https://www.ardon.cz/macene-rukavice-ardon-r-green-touch-07-s-s-prodejni-etiketou-fialova,Máčené rukavice ARDON®GREEN TOUCH,45.43,12,120,None,polyester,latex
https://www.ardon.cz/macene-rukavice-ardonsafety-blade-07-s,Máčené rukavice ARDON®BLADE,31.55,12,240,červená,polyester,latex
https://www.ardon.cz/detske-rukavice-ardon-r-jojo-5-7-let-s-prodejni-etiketou-3-4-macene,Dětské rukavice ARDON®JOJO,50.58,12,240,žlutá,nylon,latexová
https://www.ardon.cz/svarecske-rukavice-ardon-r-coy-11-2xl-s-kevlarovymi-svy,Svářečské rukavice ARDON®COY,145.60,12,60,šedá,hovězí štípenka,None
https://www.ardon.cz/esd-rukavice-ardonsafety-leo-esd-06-xs,ESD rukavice ARDON®LEO ESD,21.42,12,240,šedá,PES,PU
https://www.ardon.cz/macene-rukavice-ardonsafety-leo-05-2xs,Máčené rukavice ARDON®LEO,10.71,12,240,bílá,polyester,polyuretan
https://www.ardon.cz/macene-rukavice-ardonsafety-buck-bila,Máčené rukavice ARDON®BUCK,19.64,12,240,bílá,polyester,polyuretan
https://www.ardon.cz/macene-rukavice-ardonsafety-buddy-06-xs,Máčené rukavice ARDON®BUDDY,25.60,12,600,bílá,polyester,None
https://www.ardon.cz/pletene-rukavice-ardonsafety-kasilon-08-m-doprodej,Pletené rukavice ARDON®KASILON,12.70,12,300,šedá,polyester,None
https://www.ardon.cz/chemicke-rukavice-showa-660-09-l,Chemické rukavice SHOWA 660,130.72,10,60,modrá,bavlna,PVC
https://www.ardon.cz/chemicke-rukavice-showa-730-07-s,Chemické rukavice SHOWA 730,61.30,None,None,zelená,nitril,None
https://www.ardon.cz/macene-rukavice-ardonsafety-nitrax-basic-10-xl,Máčené rukavice ARDON®NITRAX BASIC,21.81,12,240,None,polyester,nitril
https://www.ardon.cz/macene-rukavice-ardon-r-nitrax-07-s,Máčené rukavice ARDON®NITRAX,38.69,12,240,modrá,nylon,nitril
https://www.ardon.cz/macene-rukavice-ardonsafety-buck-cerna,Máčené rukavice ARDON®BUCK BLACK,19.64,12,240,černá,polyester,polyuretan
https://www.ardon.cz/macene-rukavice-ardonsafety-dick-basic-08-m,Máčené rukavice ARDON®DICK BASIC,24.80,12,120,None,polyester,latex
https://www.ardon.cz/svarecske-rukavice-weldas-10-2050,Svářečské rukavice WELDAS 10-2050,515.74,10,60,černo-šedo-bílá,hovězí štípenka,None
https://www.ardon.cz/zimni-rukavice-ardon-r-winfine-06-xs-s-prodejni-etiketou,Zimní rukavice ARDON®Winfine,98.98,12,60,světle,akryl,latexové
https://www.ardon.cz/svarecske-rukavice-weldas-r-10-1003-10-xl,Svářečské rukavice Weldas® 10-1003,575.25,10,60,béžová,vepřová lícovka,None
https://www.ardon.cz/zimni-rukavice-ardon-r-petrax-winter,Zimní rukavice ARDON®PETRAX WINTER,83.31,12,60,žlutá,akryl,latex
